,,,,,,,
,,,,,,,
chave_sus_ibge,UF,COD. MUNIC,NOME DO MUNICÍPIO,População Censo 2022,POP_COBERTA_SUS,pop_coberta_DATASUS,taxa de cobertura
RRCAROEBE,RR,00233,Caroebe, 10 656,"10,595","10595,00","0,994275525525526"
RRIRACEMA,RR,00282,Iracema, 10 023,"12,637","12637,00",1
RRMUCAJAÍ,RR,00308,Mucajaí, 18 095,"18,482","18482,00",1
RRNORMANDIA,RR,00407,Normandia, 13 986,"11,500","11500,00","0,822250822250822"
RRPACARAIMA,RR,00456,Pacaraima, 19 305,"16,100","16100,00","0,833980833980834"
RRRORAINÓPOLIS,RR,00472,Rorainópolis, 32 647,"31,387","31387,00","0,96140533586547"
RRSÃOJOÃODABALIZA,RR,00506,São João da Baliza, 8 858,"8,492","8492,00","0,958681417927297"
RRSÃOLUIZ,RR,00605,São Luiz, 7 315,"8,232","8232,00",1
RRUIRAMUTÃ,RR,00704,Uiramutã, 13 751,"11,014","11014,00","0,800959930186896"
PAABAETETUBA,PA,00107,Abaetetuba, 158 188,"160,439","160439,00",1
PAABELFIGUEIREDO,PA,00131,Abel Figueiredo, 6 136,"7,536","7536,00",1
PAACARÁ,PA,00206,Acará, 59 023,"55,744","55744,00","0,944445385697101"
PAAFUÁ,PA,00305,Afuá, 37 765,"35,650","35650,00","0,943995763272872"
PAÁGUAAZULDONORTE,PA,00347,Água Azul do Norte, 18 080,"27,797","27797,00",1
PAALENQUER,PA,00404,Alenquer, 69 377,"57,390","57390,00","0,827219395476887"
PAALMEIRIM,PA,00503,Almeirim, 34 280,"34,044","34044,00","0,993115519253209"
PAALTAMIRA,PA,00602,Altamira, 126 279,"117,320","117320,00","0,929053920287617"
PAANAJÁS,PA,00701,Anajás, 28 011,"30,091","30091,00",1
PAANANINDEUA,PA,00800,Ananindeua, 478 778,"473,225","473225,00","0,988401722719089"
PAANAPU,PA,00859,Anapu, 31 850,"29,312","29312,00","0,920313971742543"
PAAUGUSTOCORRÊA,PA,00909,Augusto Corrêa, 44 573,"46,937","46937,00",1
PAAURORADOPARÁ,PA,00958,Aurora do Pará, 23 774,"32,200","32200,00",1
PAAVEIRO,PA,01006,Aveiro, 18 290,"16,421","16421,00","0,897813012575178"
PABAGRE,PA,01105,Bagre, 31 892,"31,967","31967,00",1
PABAIÃO,PA,01204,Baião, 51 641,"49,454","49454,00","0,957649929319727"
PABANNACH,PA,01253,Bannach, 4 031,"3,239","3239,00","0,803522699082114"
PABARCARENA,PA,01303,Barcarena, 126 650,"129,333","129333,00",1
PABELÉM,PA,01402,Belém,1 303 403,"357,650","357650,00","0,274397097444152"
PABELTERRA,PA,01451,Belterra, 18 099,"17,944","17944,00","0,991435990938726"
PABENEVIDES,PA,01501,Benevides, 63 567,"64,780","64780,00",1
PABOMJESUSDOTOCANTINS,PA,01576,Bom Jesus do Tocantins, 18 005,"17,254","17254,00","0,958289364065537"
PABONITO,PA,01600,Bonito, 12 622,"16,769","16769,00",1
PABRAGANÇA,PA,01709,Bragança, 123 082,"130,122","130122,00",1
PABRASILNOVO,PA,01725,Brasil Novo, 24 718,"14,883","14883,00","0,602111821344769"
PABREJOGRANDEDOARAGUAIA,PA,01758,Brejo Grande do Araguaia, 6 783,"7,357","7357,00",1
PABREUBRANCO,PA,01782,Breu Branco, 45 712,"68,597","68597,00",1
PABREVES,PA,01808,Breves, 106 968,"104,280","104280,00","0,97487098945479"
PABUJARU,PA,01907,Bujaru, 24 383,"29,717","29717,00",1
PACACHOEIRADOPIRIÁ,PA,01956,Cachoeira do Piriá, 19 630,"35,307","35307,00",1
PACACHOEIRADOARARI,PA,02004,Cachoeira do Arari, 23 981,"24,355","24355,00",1
PACAMETÁ,PA,02103,Cametá, 134 184,"140,814","140814,00",1
PACANAÃDOSCARAJÁS,PA,02152,Canaã dos Carajás, 77 079,"39,103","39103,00","0,507310681249108"
PACAPANEMA,PA,02202,Capanema, 70 394,"69,828","69828,00","0,991959542006421"
PACAPITÃOPOÇO,PA,02301,Capitão Poço, 56 506,"54,545","54545,00","0,96529572080841"
PACASTANHAL,PA,02400,Castanhal, 192 256,"201,250","201250,00",1
PACHAVES,PA,02509,Chaves, 20 757,"24,175","24175,00",1
PACOLARES,PA,02608,Colares, 12 868,"12,175","12175,00","0,946145477152627"
PACONCEIÇÃODOARAGUAIA,PA,02707,Conceição do Araguaia, 44 617,"48,115","48115,00",1
PACONCÓRDIADOPARÁ,PA,02756,Concórdia do Pará, 26 881,"34,236","34236,00",1
PACUMARUDONORTE,PA,02764,Cumaru do Norte, 14 036,"14,044","14044,00",1
PACURIONÓPOLIS,PA,02772,Curionópolis, 19 950,"17,764","17764,00","0,890426065162907"
PACURRALINHO,PA,02806,Curralinho, 33 903,"35,530","35530,00",1
PACURUÁ,PA,02855,Curuá, 14 117,"14,776","14776,00",1
PACURUÇÁ,PA,02905,Curuçá, 41 262,"41,093","41093,00","0,995904221802142"
PADOMELISEU,PA,02939,Dom Eliseu, 58 484,"61,206","61206,00",1
PAELDORADODOCARAJÁS,PA,02954,Eldorado do Carajás, 28 192,#N/DISP,#N/DISP,#N/DISP
PAFARO,PA,03002,Faro, 8 728,"6,949","6949,00","0,796173235563703"
PAFLORESTADOARAGUAIA,PA,03044,Floresta do Araguaia, 17 898,"20,742","20742,00",1
PAGARRAFÃODONORTE,PA,03077,Garrafão do Norte, 24 703,"26,155","26155,00",1
PAGOIANÉSIADOPARÁ,PA,03093,Goianésia do Pará, 26 362,"39,100","39100,00",1
PAGURUPÁ,PA,03101,Gurupá, 31 786,"34,127","34127,00",1
PAIGARAPÉAÇU,PA,03200,Igarapé-Açu, 35 797,"39,234","39234,00",1
PAIGARAPÉMIRI,PA,03309,Igarapé-Miri, 64 831,"63,367","63367,00","0,977418210424026"
PAINHANGAPI,PA,03408,Inhangapi, 10 325,"12,009","12009,00",1
PAIPIXUNADOPARÁ,PA,03457,Ipixuna do Pará, 30 329,"67,170","67170,00",1
PAIRITUIA,PA,03507,Irituia, 30 955,"32,639","32639,00",1
PAITAITUBA,PA,03606,Itaituba, 123 314,"101,541","101541,00","0,82343448432457"
PAITUPIRANGA,PA,03705,Itupiranga, 49 754,"53,439","53439,00",1
PAJACAREACANGA,PA,03754,Jacareacanga, 24 042,"6,952","6952,00","0,289160635554446"
PAJACUNDÁ,PA,03804,Jacundá, 37 707,"60,517","60517,00",1
PAJURUTI,PA,03903,Juruti, 50 881,"59,961","59961,00",1
PALIMOEIRODOAJURU,PA,04000,Limoeiro do Ajuru, 29 569,"29,623","29623,00",1
